Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T02:15:03.316704Z,77.17346459076903,40.044,117033105.70822264,2462946.6068738843,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T02:30:03.116463Z,77.17346459076903,39.437,116789531.0631971,2458474.4478618847,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T02:45:03.651982Z,77.17346459076903,39.558,116446070.13649757,2467514.832869226,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T03:00:03.208199Z,77.17346459076903,39.822,116939586.71509412,2461842.016759277,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T03:15:02.886882Z,77.17346459076903,40.374,116744151.28627406,2461331.765317376,
11441,LightBound,"Indianapolis, IN",2020-09-29T03:30:03.954443Z,77.17346459076903,40.603,92168255.96781477,2453067.0419498277,
11441,LightBound,"Indianapolis, IN",2020-09-29T03:45:03.765115Z,77.17346459076903,40.035,110721225.29850143,2457311.220000896,
11441,LightBound,"Indianapolis, IN",2020-09-29T04:00:03.188472Z,77.17346459076903,40.237,106391217.19352677,2459793.108969458,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T04:15:03.873477Z,77.17346459076903,39.918,116727835.05525781,2459426.799780676,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T04:30:03.435376Z,77.17346459076903,40.78,117245006.11234255,2466125.1904608253,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T04:45:02.793733Z,77.17346459076903,39.142,117153858.95319578,2461204.005727855,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T05:00:03.251747Z,77.17346459076903,39.226,116999760.04084413,2442780.509913289,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T05:15:03.748319Z,77.17346459076903,39.367,117111187.82168308,2467273.9426911958,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T05:30:03.063417Z,77.17346459076903,39.923,117313128.83648773,2459564.5161484326,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T05:45:03.383707Z,77.17346459076903,39.868,117127182.12491186,2453743.077568966,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T06:00:03.790567Z,77.17346459076903,39.779,117239661.33267063,2457676.7207950004,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T06:15:03.168086Z,77.17346459076903,39.848,116891931.29961553,2467063.6504283757,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T06:30:03.548983Z,77.17346459076903,39.83,117190718.76951282,2467111.1431777114,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T06:45:02.820818Z,77.17346459076903,39.64,116995967.69886565,2458113.8841181593,
8738,Xiber LLC,"Indianapolis, IN",2020-09-29T07:00:03.555792Z,77.17346459076903,39.133,116513255.58729331,2457747.065439828,
